Population,Per Capita Income,Median Household Income,Total Pop by Tenure,zip code tabulation area
18548.0,16311.0,29332.0,8384.0,28501
2929.0,19422.0,39318.0,2417.0,28508
11247.0,24173.0,45247.0,8168.0,28516
3648.0,21239.0,35000.0,3063.0,28456
21867.0,24751.0,47275.0,13599.0,28504
2545.0,42231.0,80560.0,1464.0,28480
5255.0,29550.0,53997.0,4198.0,28468
890.0,14652.0,-666666666.0,555.0,28452
7221.0,19869.0,35290.0,4770.0,28458
9822.0,16974.0,33223.0,5827.0,28463
6078.0,28788.0,49357.0,3962.0,28479
1399.0,30333.0,53300.0,1126.0,28510
3291.0,34764.0,63068.0,2389.0,28512
2605.0,17087.0,31678.0,1148.0,28515
19170.0,21632.0,34935.0,12090.0,28472
4758.0,21736.0,36563.0,3843.0,28478
9074.0,23897.0,45747.0,6162.0,28518
3845.0,18033.0,38247.0,2400.0,28453
5736.0,27524.0,67945.0,4508.0,28469
533.0,35950.0,55958.0,483.0,28520
2556.0,27072.0,54583.0,1932.0,28521
678.0,21964.0,40096.0,512.0,28511
10267.0,23869.0,45772.0,6841.0,28513
2349.0,20140.0,53558.0,1637.0,28454
1668.0,29785.0,39750.0,1444.0,28455
9854.0,24093.0,41222.0,7848.0,28457
10479.0,28933.0,59049.0,5881.0,28460
7033.0,30164.0,58560.0,5110.0,28465
9422.0,26056.0,51713.0,8768.0,28467
2276.0,15082.0,26934.0,1534.0,28464
272.0,34531.0,51406.0,163.0,28519
19287.0,30955.0,62524.0,15116.0,28461
12310.0,20540.0,40359.0,8914.0,28462
12045.0,22538.0,39170.0,8449.0,28470
9767.0,19131.0,35444.0,7146.0,28466
2371.0,30946.0,63947.0,1752.0,28523
22047.0,26238.0,49542.0,10636.0,28532
331.0,37159.0,107614.0,307.0,28553
